"2020-04-06T21:00","Shame","Songs of Praise","https://twitter.com/shamebanduk/status/1244924532068057088"
"2020-04-06T22:00","Super Furry Animals","Mwng","https://twitter.com/gruffingtonpost/status/1242519081946877953"
"2020-04-07T21:00","Field Music","Making A New World","https://twitter.com/fieldmusicmusic/status/1247448489862275073"
"2020-04-07T22:00","The Cribs","Men's Needs, Women's Needs, Whatever","https://twitter.com/thecribs/status/1247422279853559817"
"2020-04-08T21:00","The Lovely Eggs","I am Moron","https://twitter.com/Tim_Burgess/status/1243205329770422273"
"2020-04-08T22:00","The Flaming Lips","The Soft Bulletin","https://twitter.com/Tim_Burgess/status/1242531004092502018"
"2020-04-09T20:00","Sleaford Mods","Austerity Dogs","https://twitter.com/sleafordmods/status/1245357314619686912"
"2020-04-09T21:00","Pigs Pigs Pigs Pigs Pigs Pigs Pigs","Viscerals","https://twitter.com/Pigsx7/status/1244988772019773444"
"2020-04-09T22:00","Orange Juice","You Cant Hide Your Love Forever","https://twitter.com/Tim_Burgess/status/1243555739806969859"
"2020-04-10T20:00","British Sea Power","Open Season","https://twitter.com/BSPOfficial/status/1246855563184607232"
"2020-04-10T21:00","Jane Weaver","Modern Kosmology","https://twitter.com/JanelWeaver/status/1245800566732853248"
"2020-04-10T22:00","Mogwai","Come On Die Young","https://twitter.com/mogwaiband/status/1244223427239653381"
"2020-04-11T21:00","Beta Band","The Three E.P.'s","https://twitter.com/Tim_Burgess/status/1246378678101200896"
"2020-04-11T22:00","Charlatans","Between 10th and 11th","https://twitter.com/Tim_Burgess/status/1243863483369820161"
"2020-04-12T21:00","Pulp","Different Class","https://twitter.com/Tim_Burgess/status/1246506666901807106"
"2020-04-12T22:00","New Order","Power Corruption & Lies","https://twitter.com/Tim_Burgess/status/1244623119295352839"
"2020-04-13T22:00","Suede","Dog Man Star","https://twitter.com/matosman/status/1242730406543339520"
"2020-04-14T22:00","Libertines","Up The Bracket","https://twitter.com/Tim_Burgess/status/1244681793296572419"
"2020-04-15T22:00","The Style Council","Our Favourite Shop","https://twitter.com/Tim_Burgess/status/1244855455178002432"
"2020-04-16T20:00","Sleaford Mods","Divide & Exit","https://twitter.com/sleafordmods/status/1245357314619686912"
"2020-04-16T22:00","Fontaines DC","Dogrel","https://twitter.com/Tim_Burgess/status/1245065899691905024"
"2020-04-17T21:00","Twilight Sad","TBA","https://twitter.com/thetwilightsad/status/1246709167055933442"
"2020-04-17T22:00","Lloyd Cole and the Commotions","Rattlesnakes","https://twitter.com/Lloyd_Cole/status/1245379887680163846"
"2020-04-18T21:00","Supergrass","I Should Coco","https://twitter.com/SupergrassHQ/status/1245742655516151808"
"2020-04-18T22:00","The Coral","The Coral","https://twitter.com/thecoralband/status/1245750329670619136"
"2020-04-23T20:00","Sleaford Mods","Key Markets","https://twitter.com/sleafordmods/status/1245357314619686912"
"2020-04-24T21:00","Chemical Brothers","Dig Your Own Hole","https://twitter.com/Tim_Burgess/status/1246681578107015170"
"2020-04-24T22:00","Leftfield","Leftism","https://twitter.com/Tim_Burgess/status/1246682020329197569"
"2020-04-30T20:00","Sleaford Mods","English Tapas","https://twitter.com/sleafordmods/status/1245357314619686912"
"2020-05-01T21:00","Pip Blom","Boat","https://twitter.com/Tim_Burgess/status/1246003579166605313"
"2020-05-02T21:00","SK - reserved","?","https://twitter.com/Tim_Burgess/status/1246733716526940160"
"2020-05-07T20:00","Sleaford Mods","Eton Alive","https://twitter.com/sleafordmods/status/1245357314619686912"
"2020-05-14T20:00","Sleaford Mods","All That Glue","https://twitter.com/sleafordmods/status/1245357314619686912"
"2020-05-20T22:00","R&R","TBC","https://twitter.com/Tim_Burgess/status/1245796175837609985"
"1970-01-01T00:00","Wedding Present","Sea Monsters","https://twitter.com/Tim_Burgess/status/1244867980095369217"
"1970-01-01T00:00","Mark Ronson","Versions","https://twitter.com/MarkRonson/status/1245064498958008321"
"1970-01-01T00:00","Low","I Could Live In Hope","https://twitter.com/lowtheband/status/1245037423689687041"
"1970-01-01T00:00","The GO! Team","Thunder, Lightning, Strike","https://twitter.com/Tim_Burgess/status/1244947207649886208"
"1970-01-01T00:00","The Avalanches","Since I Left You","https://twitter.com/Tim_Burgess/status/1244862880291475456"
"1970-01-01T00:00","Mystery Jets","Making Dens","https://twitter.com/Tim_Burgess/status/1244952355172474880"
"1970-01-01T00:00","Joan As Police Woman","Joan As Police Woman","https://twitter.com/Tim_Burgess/status/1244914965083013121"
"1970-01-01T00:00","Billy Bragg","Don't Try This At Home","https://twitter.com/Tim_Burgess/status/1244673733610082305"
"1970-01-01T00:00","Belle And Sebastian","The Boy With The Arab Strap","https://twitter.com/nee_massey/status/1244299972964757504"
"1970-01-01T00:00","Maximo Park","A Certain Trigger","https://twitter.com/Tim_Burgess/status/1244267164850360322"
"1970-01-01T00:00","Mercury Rev","Deserter's Songs","https://twitter.com/TheBluestStar/status/1244349004831502340"
"1970-01-01T00:00","Get Cape, Wear Cape","The Chronicles Of A Bohemian Teenager","https://twitter.com/forgetcape"
"1970-01-01T00:00","DMA's","Hills End","https://twitter.com/dmasmusic/status/1244214009064075264"
"1970-01-01T00:00","Lush","Lovelife","https://twitter.com/Tim_Burgess/status/1244555734337142784"
"1970-01-01T00:00","David Bowie","Hunky Dory","https://twitter.com/Tim_Burgess/status/1241351280557281280"
"1970-01-01T00:00","Camera Obscura","Let’s Get Out Of This Country","https://twitter.com/Tim_Burgess/status/1243964156719628291"
"1970-01-01T00:00","Wolf Alice","My Love Is Cool","https://twitter.com/Tim_Burgess/status/1242814921013952512"
"1970-01-01T00:00","Haircut 100","Pelican West","https://twitter.com/Tim_Burgess/status/1243224128498302978"
"1970-01-01T00:00","Frankie Goes to Hollywood","Welcome To The Pleasuredome","https://twitter.com/Tim_Burgess/status/1242594800429391873"
"1970-01-01T00:00","The Pogues","Rum, Sodomy & The Lash","https://twitter.com/Tim_Burgess/status/1245335897240895488"
"1970-01-01T00:00","This Is The Kit","Moonshine Freeze","https://twitter.com/Tim_Burgess/status/1245344611872190464"
"1970-01-01T00:00","Gomez","Bring It On","https://twitter.com/Tim_Burgess/status/1244211586937561089"
